date,week,lib_cases,lib_deaths,lib_cases_last,lib_deaths_last,lib_new,lib_rate,gui_cases,gui_deaths,gui_cases_last,gui_deaths_last,gui_new,gui_rate,sl_cases,sl_deaths,sl_cases_last,sl_deaths_last,sl_new,sl_rate,nig_cases,nig_deaths,sen_cases,sen_deaths,tot_cases,tot_deaths
12/24/2014,52,7977,3413,7977,3413,101,0.01,2630,1654,2630,1654,33,0.01,9203,2655,9203,2655,199,0.02,,,,,19810,7722
12/21/2014,52,7876,3392,,,57,0.01,2597,1607,,,182,0.08,9004,2582,,,648,0.08,,,,,19477,7581
12/14/2014,51,7819,3346,,,22,0,2415,1525,,,76,0.03,8356,2417,,,342,0.04,,,,,18590,7288
12/9/2014,50,7797,3290,,,32,0,2339,1454,,,47,0.02,8014,2189,,,117,0.01,,,,,18150,6933
12/7/2014,50,7765,3222,,,112,0.01,2292,1428,,,128,0.06,7897,2100,,,585,0.08,,,,,17954,6776
11/30/2014,49,7653,3157,,,18,0,2164,1325,,,9,0,7312,1915,,,203,0.03,,,,,17129,6397
11/28/2014,48,7635,3145,,,439,0.06,2155,1312,,,21,0.01,7109,1862,,,510,0.08,,,,,16869,6319
11/23/2014,48,7196,3029,,,114,0.02,2134,1260,,,87,0.04,6599,1699,,,409,0.07,,,,,15929,5988
11/18/2014,47,7082,2963,,,13,0,2047,1214,,,76,0.04,6190,1598,,,117,0.02,,,,,15319,5775
11/16/2014,47,7069,2964,,,191,0.03,1971,1192,,,52,0.03,6073,1571,,,487,0.09,,,,,15113,5727
11/11/2014,46,6878,2812,,,56,0.01,1919,1166,,,41,0.02,5586,1514,,,218,0.04,,,,,14383,5492
11/9/2014,46,6822,2836,,,203,0.03,1878,1142,,,118,0.07,5368,1498,,,547,0.11,,,,,14068,5476
11/4/2014,45,6619,2766,,,95,0.01,1760,1054,,,29,0.02,4821,1455,,,62,0.01,,,,,13200,5275
11/2/2014,45,6524,2700,,,-11,0,1731,1041,,,64,0.04,4759,1450,,,,,,,,,13014,5191
10/30/2014,44,6535,2413,,,282,0.05,1667,1018,,,69,0.04,5338,1510,,,,,,,,,13540,4941
10/24/2014,43,6253,2704,,,,,1598,981,,,58,0.04,4017,1341,,,311,0.08,,,,,12008,5078
10/19/2014,43,4665,2705,,,58,0.01,1540,926,,,39,0.03,3706,1259,,,146,0.04,20,8,,,9936,4877
10/17/2014,42,4607,2689,,,358,0.08,1501,886,,,29,0.02,3560,1227,,,308,0.09,20,8,1,,9693,4811
10/12/2014,42,4249,2458,,,173,0.04,1472,843,,,122,0.09,3252,1183,,,315,0.11,20,8,1,,8997,4493
10/7/2014,41,4076,2316,,,152,0.04,1350,778,,,52,0.04,2937,885,,,148,0.05,20,8,1,,8386,3988
